id,channel_id,posteruser_id,text,topicstructure_id,startwritetime,endwritetime,submittime,inserttime,quality,value,image_id,postingtype,equation,image_is_handmade,image_id,trainingsrating
48,7,3,Evidenzbasiert Feststellungen als Entscheidungshilfe in der klinischen Praxis,16,2013-05-03 10:20:26,2013-05-03 10:20:58,2013-05-03 10:21:00,2013-05-03 10:22:02,0.19230769230769232,0,,TXT,NULL,,NULL,0
49,7,10,"Leitlinien- Wer macht sie? Jeder kann eine Leitlinie machen, kein geschützer Begriff => Nutzer muss Qualität prüfen, und ob es verantwortlich ist, sie anzuwenden",16,2013-05-03 10:21:32,2013-05-03 10:22:18,2013-05-03 10:22:20,2013-05-03 10:22:43,0.4230769230769231,0,,TXT,NULL,,NULL,0
50,7,9,Jeder kann Leitlinien erstellen: Qualitätssicherung selber durchführen,16,2013-05-03 10:21:08,2013-05-03 10:22:08,2013-05-03 10:22:10,2013-05-03 10:23:11,0.19230769230769232,0,,TXT,NULL,,NULL,0
51,7,3,Nicht jede existierende Leitlinie muss auf jeden klinischen Fall passen.,16,2013-05-03 10:24:42,2013-05-03 10:24:54,2013-05-03 10:24:59,2013-05-03 10:26:01,0.19230769230769232,0,,TXT,NULL,,NULL,0
52,7,9,Organisationen erstellen Leitlinien: Leitlinien enthalten Richtwerte: Diese Richtwerte sind nicht auf jedes Patientenkollektiv übertragbar,16,2013-05-03 10:24:38,2013-05-03 10:25:09,2013-05-03 10:25:11,2013-05-03 10:26:12,0.34615384615384615,0,,TXT,NULL,,NULL,0
53,7,10,"Folie 20: Leitlinie: zur Hypertonie. Nicht so gut, weil aufs Alter bezogen und nicht durchgehend, warum so scharfe Grenzwerte?, eventuell nicht auf Patient anwendbar, aber Medizin lebt von Leitlinien",16,2013-05-03 10:22:41,2013-05-03 10:26:32,2013-05-03 10:26:33,2013-05-03 10:26:56,0.6923076923076923,0,,TXT,NULL,,NULL,0
54,7,3,Leitlinien sind zum Teil sehr alt.,16,2013-05-03 10:27:21,2013-05-03 10:27:32,2013-05-03 10:27:35,2013-05-03 10:28:38,0,0,,TXT,NULL,,NULL,0
55,7,10,"Folie 20: Quellen veraltet, Patienten verändern sich im Schnitt im Laufe der Zeit, Grenzwerte sehr unterschiedlich",16,2013-05-03 10:26:55,2013-05-03 10:28:13,2013-05-03 10:28:23,2013-05-03 10:28:46,0.4230769230769231,0,,TXT,NULL,,NULL,0
57,7,9,Viele verschiedene Leitlinien für ein bestimmtes Merkmal: unterschiedliche Richtwerte empfohlen,16,2013-05-03 10:27:50,2013-05-03 10:30:12,2013-05-03 10:30:13,2013-05-03 10:31:14,0.3076923076923077,0,,TXT,NULL,,NULL,0
56,7,3,Wichtig: Wer gibt Leitlinien heraus? Wie alt sind die Leitlinien? Wie verhält es sich mit internationaler vs. nationaler Standards?,16,2013-05-03 10:27:59,2013-05-03 10:28:58,2013-05-03 10:28:59,2013-05-03 10:30:02,0.4615384615384615,0,,TXT,NULL,,NULL,0
58,7,10,"Folie 20: Sind Quellen vertrauenswürdig? Quellen kommen aus unterschiedlichen Ländern, und das beste wäre das jeweilige Land anzuschauen, Wie werden die Quellen finanziert (Pharma-Industrie-Abhängigkeit?)",16,2013-05-03 10:28:45,2013-05-03 10:31:25,2013-05-03 10:31:26,2013-05-03 10:31:49,0.6923076923076923,0,,TXT,NULL,,NULL,0
59,7,3,Wie etabliert ist die Leitlinie?,16,2013-05-03 10:33:21,2013-05-03 10:33:27,2013-05-03 10:33:28,2013-05-03 10:34:30,0,0,,TXT,NULL,,NULL,0
60,7,10,"Folie Bewertungsschema: Vollständigkeit: Gibt Leitlinie alle Optionen an, die ich als Arzt habe? Vollständigkeit im Hinblick auf Outcome: Werden alle möglichen Szenarien vorgestellt? Peer Review: Ist die Leitlinie schon kritisch bewertete worden?",16,2013-05-03 10:32:22,2013-05-03 10:34:12,2013-05-03 10:34:13,2013-05-03 10:34:36,0.7692307692307693,0,,TXT,NULL,,NULL,0
61,7,3,Leitlinienarbeit ist der Prozess um Leitlinien zu entwickeln.,16,2013-05-03 10:34:24,2013-05-03 10:34:37,2013-05-03 10:34:38,2013-05-03 10:35:40,0.15384615384615385,0,,TXT,NULL,,NULL,0
